"Plot4"
"Time (sec)","Linear Displacement2 (mm)"
0,-0.334155792991986
0.04,-0.192596302215816
0.08,-0.0512225616717942
0.12,0.0901203808140929
0.16,0.231372873821474
0.2,0.37252919309989
0.24,0.513583780530702
0.28,0.65453109284009
0.32,0.795365599356048
0.36,0.936081783083449
0.4,1.07667414198593
0.44,1.21713719027132
0.48,1.35746545967073
0.52,1.49765350070916
0.56,1.63769588396543
0.6,1.77758720132153
0.64,1.917322067201
0.68,2.05689511979477
0.72,2.1963010222757
0.76,2.3355344639967
0.8,2.4745901616776
0.84,2.61346286057652
0.88,2.75214733564464
0.92,2.8906383926653
0.96,3.02893086937956
1,3.16701963658785
1.04,3.30489959924167
1.08,3.44256569750997
1.12,3.58001290783183
1.16,3.71723624394767
1.2,3.85423075790904
1.24,3.9909915410697
1.28,4.12751372505822
1.32,4.26379248272289
1.36,4.39982302906164
1.4,4.5356006221271
1.44,4.67112056390706
1.48,4.8063782011861
1.52,4.94136892638327
1.56,5.07608817836224
1.6,5.210531443224
1.64,5.34469425507135
1.68,5.47857219675062
1.72,5.61216090056908
1.76,5.74545604898709
1.8,5.87845337528675
1.84,6.01114866421431
1.88,6.143537752599
1.92,6.27561652994401
1.96,6.40738093899746
2,6.53882697629187
2.04,6.66995069266321
2.08,6.80074819374237
2.12,6.9312156404221
2.16,7.0613492492971
2.2,7.19114529308231
2.24,7.32060010100284
2.28,7.44971005916011
2.32,7.57847161087293
2.36,7.70688125699391
2.4,7.83493555620076
2.44,7.96263112526348
2.48,8.08996463928691
2.52,8.21693283192924
2.56,8.34353249559635
2.6,8.46976048161292
2.64,8.59561370036922
2.68,8.72108912144544
2.72,8.84618377371249
2.76,8.97089474541031
2.8,9.0952191842038
2.84,9.21915429721639
2.88,9.34269735104214
2.92,9.46584567173598
2.96,9.58859664478315
3,9.71094771504763
3.04,9.83289638670027
3.08,9.9544402231266
3.12,10.0755768468152
3.16,10.1963039392269
3.2,10.316619240644
3.24,10.4365205500027
3.28,10.5560057247071
3.32,10.67507268042
3.36,10.7937193908481
3.4,10.9119438874993
3.44,11.0297442594281
3.48,11.1471186529646
3.52,11.2640652714275
3.56,11.3805823748223
3.6,11.496668279524
3.64,11.6123213579465
3.68,11.7275400381967
3.72,11.8423228037165
3.76,11.9566681929105
3.8,12.0705747987624
3.84,12.1840412684377
3.88,12.2970663028763
3.92,12.409648656372
3.96,12.5217871361425
4,12.6334806018883
4.04,12.7447279653418
4.08,12.8555281898062
4.12,12.965880289686
4.16,13.0757833300083
4.2,13.1852364259355
4.24,13.29423874227
4.28,13.4027894929522
4.32,13.5108879405501
4.36,13.6185333957428
4.4,13.7257252167973
4.44,13.8324628090397
4.48,13.9387456243202
4.52,14.0445731604732
4.56,14.1499449607722
4.6,14.2548606133805
4.64,14.3593197507974
4.68,14.4633220493006
4.72,14.5668672283853
4.76,14.6699550501999
4.8,14.7725853189784
4.84,14.8747578804719
4.88,14.9764726213756
4.92,15.0777294687557
4.96,15.1785283894736
5,15.27886938961
5.04,15.1788596632412
5.08,15.0777305961534
5.12,14.9764726229141
5.16,14.8747578510733
5.2,14.7725852912529
5.24,14.6699550261702
5.28,14.5668672081703
5.32,14.4633220328998
5.36,14.3593197382028
5.4,14.2548606045838
5.44,14.1499449557652
5.48,14.0445731592476
5.52,13.938745626868
5.56,13.8324628153527
5.6,13.7257252268675
5.64,13.6185334095624
5.68,13.5108879581111
5.72,13.4027895142468
5.76,13.2942387672903
5.8,13.1852364546739
5.84,13.0757833624572
5.88,12.9658803258377
5.92,12.8555282296531
5.96,12.7447280088764
6,12.6334806491033
6.04,12.5217871870304
6.08,12.4096487109256
6.12,12.2970663610883
6.16,12.1840413303009
6.2,12.0705748642695
6.24,11.9566682620545
6.28,11.8423228764904
6.32,11.7275401145936
6.36,11.6123214379594
6.4,11.496668363146
6.44,11.3805824620465
6.48,11.2640653622472
6.52,11.147118747373
6.56,11.0297443574183
6.6,10.911943989065
6.64000000000001,10.7937194959826
6.68000000000001,10.6750727891169
6.72000000000001,10.55600583696
6.76000000000001,10.4365206658063
6.80000000000001,10.3166193599906
6.84000000000001,10.1963040621102
6.88000000000001,10.075576973229
6.92000000000001,9.95444035306456
6.96000000000001,9.83289652015625
7.00000000000001,9.71094785201548
7.04000000000001,9.58859678525675
7.08000000000001,9.46584581570925
7.12000000000001,9.34269749850907
7.16000000000001,9.21915444817101
7.20000000000001,9.09521933864007
7.24000000000001,8.97089490332237
7.28000000000001,8.84618393509437
7.32000000000001,8.72108928629137
7.36000000000001,8.59561386867333
7.40000000000001,8.46976065336976
7.44000000000001,8.34353267079977
7.48000000000001,8.21693301057346
7.52000000000001,8.08996482136625
7.56000000000001,7.96263131077224
7.60000000000001,7.83493574513325
7.64000000000001,7.70688144934442
7.68000000000001,7.57847180663533
7.72000000000001,7.44971025832923
7.76000000000001,7.32060030357308
7.80000000000001,7.191145499048
7.84000000000001,7.06134945865263
7.88000000000001,6.9312158531619
7.92000000000001,6.80074840986116
7.96000000000001,6.66995091215474
8.00000000000001,6.53882719915047
8.04,6.40738116521774
8.08,6.27561675952041
8.12,6.1435379855256
8.16,6.01114890048646
8.2,5.87845361489794
8.24,5.74545629193159
8.28,5.61216114684103
8.32,5.47857244634439
8.36,5.34469450798096
8.4,5.21053169944367
8.44,5.07608843788607
8.48,4.94136918920537
8.51999999999999,4.80637846730071
8.55999999999999,4.67112083330757
8.59999999999999,4.53560089480779
8.63999999999999,4.39982330501676
8.67999999999999,4.26379276194551
8.71999999999999,4.12751400754213
