"Plot4"
"Time (sec)","Linear Displacement2 (mm)"
0,-65.0263367161998
0.04,-65.0260253151005
0.08,-65.0250909431033
0.12,-65.0235372419633
0.16,-65.0213641670956
0.2,-65.0185694247094
0.24,-65.015153927169
0.28,-65.0111190153017
0.32,-65.0064662819823
0.36,-65.0011975579044
0.4,-64.9953149073599
0.44,-64.9888206242347
0.48,-64.9817172278523
0.52,-64.9740074585198
0.56,-64.9656942728123
0.6,-64.9567808386109
0.64,-64.9472705299297
0.68,-64.9371669214656
0.72,-64.9264737829978
0.76,-64.9151950735351
0.8,-64.9033349353023
0.84,-64.8908976875435
0.88,-64.8778878201691
0.92,-64.8643099872491
0.96,-64.8501690003733
1,-64.8354698218927
1.04,-64.8202175580537
1.08,-64.8044174520307
1.12,-64.7880748768938
1.16,-64.7711953284918
1.2,-64.7537844182899
1.24,-64.7358478661685
1.28,-64.7173914931866
1.32,-64.698421214332
1.36,-64.6789430312678
1.4,-64.6589630250795
1.44,-64.6384873490488
1.48,-64.617522221453
1.52,-64.5960739183912
1.56,-64.5741487666803
1.6,-64.5517531367887
1.64,-64.5288934358446
1.68,-64.5055761007221
1.72,-64.4818075911943
1.76,-64.4575943831908
1.8,-64.4329429621415
1.84,-64.4078598164169
1.88,-64.3823514308833
1.92,-64.3564242805598
1.96,-64.3300848243918
2,-64.303339499141
2.04,-64.2761947133981
2.08,-64.2486568417106
2.12,-64.2207322188388
2.16,-64.1924271341393
2.2,-64.1637478260624
2.24,-64.1347004767861
2.28,-64.1052912069652
2.32,-64.0755260706088
2.36,-64.0454110500725
2.4,-64.0149520511757
2.44,-63.9841548984294
2.48,-63.9530253303753
2.52,-63.9215689950398
2.56,-63.8897914454836
2.6,-63.8576981354551
2.64,-63.8252944151328
2.68,-63.7925855269608
2.72,-63.7595766015603
2.76,-63.7262726537155
2.8,-63.6926785784286
2.84,-63.6587991470299
2.88,-63.6246390033384
2.92,-63.5902026598663
2.96,-63.5554944940458
3,-63.5205187444881
3.04,-63.4852795072418
3.08,-63.4497807320529
3.12,-63.4140262186153
3.16,-63.3780196127837
3.2,-63.3417644027537
3.24,-63.3052639151821
3.28,-63.2685213112363
3.32,-63.2315395825565
3.36,-63.1943215471084
3.4,-63.1568698449163
3.44,-63.1191869336463
3.48,-63.081275084024
3.52,-63.0431363750629
3.56,-63.0047726890685
3.6,-62.9661857064388
3.64,-62.9273769001423
3.68,-62.8883475299039
3.72,-62.849098636089
3.76,-62.8096310331877
3.8,-62.7699453028908
3.84,-62.7300417867075
3.88,-62.6899205780884
3.92,-62.6495815139772
3.96,-62.6090241657619
4,-62.5682478295422
4.04,-62.5272515156533
4.08,-62.4860339373614
4.12,-62.4445934986654
4.16,-62.4029282810721
4.2,-62.3610360292876
4.24,-62.3189141356674
4.28,-62.2765596233266
4.32,-62.2339691277224
4.36,-62.1911388766031
4.4,-62.1480646680772
4.44,-62.1047418466323
4.48,-62.0611652768623
4.52,-62.0173293146077
4.56,-61.9732277752547
4.6,-61.928853898783
4.64,-61.8842003112125
4.68,-61.8392589819735
4.72,-61.7940211766652
4.76,-61.7484774046174
4.8,-61.7026173605253
4.84,-61.6564298593615
4.88,-61.6099027635928
4.92,-61.5630229015989
4.96,-61.5157759759664
5,-61.4681464601076
5.04,-61.5145534722456
5.08,-61.5630301875471
5.12,-61.6099055762584
5.16,-61.65643241605
5.2,-61.7026199300288
5.24,-61.748480000447
5.28,-61.7940237966705
5.32,-61.8392616232314
5.36,-61.884202970934
5.4,-61.928856574355
5.44,-61.9732304642267
5.48,-62.0173320146811
5.52,-62.0611679858729
5.56,-62.1047445625497
5.6,-62.1480673889837
5.64,-62.1911416006915
5.68,-62.2339718532838
5.72,-62.276562348748
5.76,-62.3189168594221
5.8,-62.3610387499287
5.84,-62.4029309972285
5.88,-62.444596209037
5.92,-62.4860366407157
5.96,-62.5272542108149
6,-62.5682505153998
6.04,-62.6090268412555
6.08,-62.6495841781006
6.12,-62.6899232298819
6.16,-62.7300444252597
6.2,-62.769947927332
6.24,-62.8096336426926
6.28,-62.8491012298691
6.32,-62.8883501072092
6.36,-62.9273794602584
6.4,-62.9661882486845
6.44,-63.0047752127885
6.48,-63.04313887964
6.52,-63.0812775688822
6.56,-63.1191893982283
6.6,-63.1568722887084
6.64000000000001,-63.1943239695913
6.68000000000001,-63.2315419832514
6.72000000000001,-63.2685236896905
6.76000000000001,-63.3052662709667
6.80000000000001,-63.341766735463
6.84000000000001,-63.3780219220349
6.88000000000001,-63.414028504046
6.92000000000001,-63.4497829933233
6.96000000000001,-63.4852817440329
7.00000000000001,-63.5205209565002
7.04000000000001,-63.555496680999
7.08000000000001,-63.5902048215004
7.12000000000001,-63.6246411394125
7.16000000000001,-63.6588012573185
7.20000000000001,-63.6926806627279
7.24000000000001,-63.7262747118371
7.28000000000001,-63.7595786333335
7.32000000000001,-63.7925875322328
7.36000000000001,-63.8252963937659
7.40000000000001,-63.8577000873289
7.44000000000001,-63.8897933704944
7.48000000000001,-63.9215708930987
7.52000000000001,-63.9530272014102
7.56000000000001,-63.984156742383
7.60000000000001,-64.0149538680078
7.64000000000001,-64.0454128397565
7.68000000000001,-64.0755278331335
7.72000000000001,-64.1052929423354
7.76000000000001,-64.1347021850203
7.80000000000001,-64.1637495071936
7.84000000000001,-64.1924287882169
7.88000000000001,-64.2207338459253
7.92000000000001,-64.2486584418829
7.96000000000001,-64.2761962867478
8.00000000000001,-64.3033410457748
8.04,-64.3300863444289
8.08,-64.3564257741346
8.12,-64.3823528981446
8.16,-64.4078612575274
8.2,-64.4329443772766
8.24,-64.4575957725423
8.28,-64.4818089549652
8.32,-64.5055774391315
8.36,-64.5288947491257
8.4,-64.5517544251855
8.44,-64.5741500304541
8.48,-64.5960751578149
8.51999999999999,-64.6175234368147
8.55999999999999,-64.6384885406507
8.59999999999999,-64.6589641932333
8.63999999999999,-64.6789441763038
8.67999999999999,-64.6984223365951
8.71999999999999,-64.7173925930302
8.75999999999999,-64.7358489439636
8.79999999999999,-64.7537854744197
8.83999999999999,-64.7711963633535
8.87999999999999,-64.7880758908988
8.91999999999999,-64.8044184456036
8.95999999999998,-64.8202185316308
8.99999999999998,-64.8354707759277
9.03999999999998,-64.8501699353312
9.07999999999998,-64.8643109036082
9.11999999999998,-64.877888718423
9.15999999999998,-64.8908985681958
9.19999999999998,-64.9033357988723
9.23999999999998,-64.9151959205576
9.27999999999998,-64.9264746140163
9.31999999999998,-64.9371677370428
9.35999999999998,-64.9472713306332
9.39999999999998,-64.9567816250293
9.43999999999997,-64.9656950455415
9.47999999999997,-64.9740082181757
9.51999999999997,-64.9817179750593
9.55999999999997,-64.9888213596269
