"Plot4"
"Time (sec)","Linear Displacement2 (mm)"
0,-0.334155792991986
0.04,-0.23980836964251
0.08,-0.145496883128237
0.12,-0.0512204982581008
0.16,0.0430182920540274
0.2,0.137217646576213
0.24,0.23137590220166
0.28,0.32549140999311
0.32,0.419562523707567
0.36,0.513587599248544
0.4,0.607564994791988
0.44,0.701493070956042
0.48,0.795370190971586
0.52,0.889194720853588
0.56,0.982965029571346
0.6,1.07667948921955
0.64,1.17033647518507
0.68,1.2639343663169
0.72,1.35747154509376
0.76,1.450946397789
0.8,1.54435731463792
0.84,1.63770269000272
0.88,1.73098092253455
0.92,1.82419041533861
0.96,1.91732957613383
1,2.01039681741478
1.04,2.10339055661132
1.08,2.19630921624568
1.12,2.28915122409056
1.16,2.38191501332532
1.2,2.47459902268887
1.24,2.56720169663501
1.28,2.65972148548282
1.32,2.75215684556751
1.36,2.84450623938939
1.4,2.93676813576082
1.44,3.02894100995379
1.48,3.1210233438431
1.52,3.21301362604913
1.56,3.30491035207946
1.6,3.39671202446878
1.64,3.48841715291615
1.68,3.58002425442157
1.72,3.67153185342147
1.76,3.76293848191904
1.8,3.85424267961746
1.84,3.94544299404834
1.88,4.0365379806981
1.92,4.12752620313446
1.96,4.2184062331307
2,4.30917665078451
2.04,4.39983604464017
2.08,4.49038301180649
2.12,4.58081615806971
2.16,4.67113409801027
2.2,4.76133545511314
2.24,4.85141886187765
2.28,4.94138295992524
2.32,5.03122640010449
2.36,5.12094784259655
2.4,5.21054595701259
2.44,5.30001942249784
2.48,5.3893669278259
2.52,5.47858717149261
2.56,5.56767886181173
2.6,5.65664071700511
2.64,5.74547146528871
2.68,5.83416984496144
2.72,5.92273460448952
2.76,6.01116450258565
2.8,6.09945830829111
2.84,6.18761480105399
2.88,6.27563277080121
2.92,6.36351101801433
2.96,6.45124835380116
3,6.53884359996072
3.04,6.62629558905292
3.08,6.7136031644632
3.12,6.80076518046091
3.16,6.88778050226225
3.2,6.9746480060886
3.24,7.06136657921757
3.28,7.14793512004002
3.32,7.23435253811139
3.36,7.32061775419611
3.4,7.40672970031821
3.44,7.49268731980595
3.48,7.57848956732976
3.52,7.6641354089459
3.56,7.74962382213551
3.6,7.83495379583467
3.64,7.92012433047374
3.68,8.00513443800588
3.72,8.089983141937
3.76,8.17466947735284
3.8,8.25919249094417
3.84,8.34355124102965
3.88,8.42774479757694
3.92,8.51177224222139
3.96,8.59563266828307
4,8.67932518078127
4.04,8.76284889644769
4.08,8.84620294373689
4.12,8.92938646283531
4.16,9.01239860566803
4.2,9.09523853590384
4.24,9.17790542895791
4.28,9.26039847199329
4.32,9.34271686391987
4.36,9.42485981539173
4.4,9.50682654880268
4.44,9.58861629827999
4.48,9.67022830967697
4.52,9.75166184055981
4.56,9.8329161602002
4.6,9.91399054956004
4.64,9.99488430127596
4.68,10.0755967196428
4.72,10.1561271205951
4.76,10.2364748316869
4.8,10.3166391920701
4.84,10.3966195524706
4.88,10.4764152751638
4.92,10.5560257339481
4.96,10.6354503141164
5,10.7146884124267
5.04,10.6354473513713
5.08,10.5560264512396
5.12,10.4764154305695
5.16,10.3966196746821
5.2,10.3166393145426
5.24,10.236474956495
5.28,10.1561272478661
5.32,10.0755968493817
5.36,9.99488443348003
5.4,9.9139906842271
5.44,9.83291629732752
5.48,9.7516619801447
5.52,9.67022845171701
5.56,9.58861644277311
5.6,9.50682669574521
5.64,9.4248599647809
5.68,9.34271701575293
5.72,9.26039862626749
5.76,9.17790558567052
5.8,9.09523869505207
5.84,9.01239876724912
5.88,8.9293866268464
5.92,8.84620311017521
5.96,8.76284906531045
6,8.67932535206569
6.04,8.59563284198625
6.08,8.51177241834062
6.12,8.42774497610929
6.16,8.34355142197235
6.2,8.25919267429431
6.24,8.17466966310761
6.28,8.08998333009349
6.32,8.00513462856117
6.36,7.92012452342496
6.4,7.83495399117889
6.44,7.74962401986978
6.48,7.66413560906786
6.52,7.57848976983596
6.56,7.49268752469356
6.6,7.40672990758463
6.64000000000001,7.32061796383739
6.68000000000001,7.23435275012504
6.72000000000001,7.14793533442346
6.76000000000001,7.06136679596681
6.80000000000001,6.97464822520111
6.84000000000001,6.88778072373537
6.88000000000001,6.80076540429064
6.92000000000001,6.71360339064623
6.96000000000001,6.62629581758717
7.00000000000001,6.53884383084226
7.04000000000001,6.4512485870273
7.08000000000001,6.36351125358219
7.12000000000001,6.27563300870684
7.16000000000001,6.18761504129459
7.20000000000001,6.09945855086371
7.24000000000001,6.01116474748627
7.28000000000001,5.92273485171534
7.32000000000001,5.8341700945093
7.36000000000001,5.7454717171547
7.40000000000001,5.65664097118618
7.44000000000001,5.56767911830465
7.48000000000001,5.47858743029316
7.52000000000001,5.3893671889316
7.56000000000001,5.30001968590537
7.60000000000001,5.21054622271725
7.64000000000001,5.12094811059535
7.68000000000001,5.03122667039441
7.72000000000001,4.94138323250175
7.76000000000001,4.85141913673803
7.80000000000001,4.76133573225346
7.84000000000001,4.67113437742667
7.88000000000001,4.58081643975884
7.92000000000001,4.49038329576449
7.96000000000001,4.39983633086336
8.00000000000001,4.30917693926887
8.04,4.21840652387252
8.08,4.12752649612997
8.12,4.03653827594312
8.16,3.94544329153917
8.2,3.85424297935011
8.24,3.76293878388958
8.28,3.67153215762574
8.32,3.58002456085572
8.36,3.48841746157542
8.4,3.39671233534925
8.44,3.30491066517748
8.48,3.21301394136023
8.51999999999999,3.12102366136292
8.55999999999999,3.02894132967776
8.59999999999999,2.93676845768449
8.63999999999999,2.84450656350884
8.67999999999999,2.75215717187824
8.71999999999999,2.65972181398056
8.75999999999999,2.56720202731469
8.79999999999999,2.47459935554617
8.83999999999999,2.38191534835557
8.87999999999999,2.28915156128932
8.91999999999999,2.1963095556076
8.95999999999998,2.10339089813251
8.99999999999998,2.01039716109015
9.03999999999998,1.91732992195806
9.07999999999998,1.82419076330733
9.11999999999998,1.73098127264256
9.15999999999998,1.63770304224532
9.19999999999998,1.54435766900994
9.23999999999998,1.45094675428521
9.27999999999998,1.35747190370903
9.31999999999998,1.26393472704646
9.35999999999998,1.17033683802323
9.39999999999998,1.07667985416119
9.43999999999997,0.982965396611378
9.47999999999997,0.889195089986172
9.51999999999997,0.795370562191389
9.55999999999997,0.701493444257894
9.59999999999997,0.607565370170104
9.63999999999997,0.513587976697089
9.67999999999997,0.41956290322091
9.71999999999997,0.325491791565578
9.75999999999997,0.231376285824311
9.79999999999997,0.137218032186498
9.83999999999997,0.0430186787658774
9.87999999999997,-0.051220124574116
9.91999999999996,-0.145496726393165
9.95999999999996,-0.239809473849221
9.99999999999996,-0.334156712872022
10.04,-0.428536788338211
10.08,-0.522948044245833
10.12,-0.617388823889259
10.16,-0.711857470033894
10.2,-0.806352325091646
10.24,-0.900871731295294
10.28,-0.995414030873474
10.32,-1.08997756622557
10.36,-1.18456068009568
10.4,-1.27916171574822
10.44,-1.37377901714037
10.48,-1.46841092909716
10.52,-1.56305579748342
10.56,-1.65771196937854
10.5999999999999,-1.75237779324729
10.6399999999999,-1.84705161911361
10.6799999999999,-1.94173179873092
10.7199999999999,-2.03641668575236
10.7599999999999,-2.13110463590284
10.7999999999999,-2.22579400714805
10.8399999999999,-2.3204831598619
10.8799999999999,-2.41517045699766
10.9199999999999,-2.5098542642522
10.9599999999999,-2.6045329502338
10.9999999999999,-2.69920488662841
11.0399999999999,-2.79386844836314
11.0799999999999,-2.88852201377056
11.1199999999999,-2.98316396475114
