"Plot13"
"Time (sec)","Angular Displacement1 (deg)"
0,5.86414769394836e-15
0.04,-0.180066539393975
0.08,-0.360000060392788
0.12,-0.539998271167443
0.16,-0.719988391323748
0.2,-0.899964978929447
0.24,-1.07992271628282
0.28,-1.25985629178083
0.32,-1.4397604012096
0.36,-1.6196297488765
0.4,-1.79945904873585
0.44,-1.97924302550491
0.48,-2.15897641577556
0.52,-2.33865396912267
0.56,-2.51827044920237
0.6,-2.69782063484338
0.64,-2.87729932113299
0.68,-3.0567013204903
0.72,-3.23602146373488
0.76,-3.41525460114013
0.8,-3.59439560348093
0.84,-3.77343936306982
0.88,-3.95238079477694
0.92,-4.13121483704503
0.96,-4.30993645288769
1,-4.48854063087339
1.04,-4.66702238610097
1.08,-4.84537676115527
1.12,-5.02359882705131
1.16,-5.20168368416868
1.2,-5.37962646315732
1.24,-5.55742232584037
1.28,-5.73506646609651
1.32,-5.91255411072168
1.36,-6.08988052028046
1.4,-6.26704098993781
1.44,-6.44403085026896
1.48,-6.62084546805838
1.52,-6.79748024707757
1.56,-6.97393062884051
1.6,-7.15019209334727
1.64,-7.32626015980378
1.68,-7.50213038732413
1.72,-7.67779837561314
1.76,-7.85325976562882
1.8,-8.02851024022619
1.84,-8.20354552477985
1.88,-8.37836138778898
1.92,-8.55295364145324
1.96,-8.72731814224518
2,-8.90145079144597
2.04,-9.07534753566824
2.08,-9.24900436735713
2.12,-9.42241732526998
2.16,-9.59558249493899
2.2,-9.76849600910601
2.24,-9.94115404814394
2.28,-10.1135528404542
2.32,-10.2856886628435
2.36,-10.4575578408819
2.4,-10.6291567492382
2.44,-10.8004818119967
2.48,-10.9715295029536
2.52,-11.1422963458918
2.56,-11.3127789148379
2.6,-11.4829738342977
2.64,-11.6528777794727
2.68,-11.8224874764569
2.72,-11.9917997024147
2.76,-12.1608112857388
2.8,-12.3295191061897
2.84,-12.497920095017
2.88,-12.6660112350607
2.92,-12.8337895608354
2.96,-13.0012521585966
3,-13.1683961663881
3.04,-13.3352187740727
3.08,-13.5017172233456
3.12,-13.6678888077304
3.16,-13.8337308725586
3.2,-13.9992408149327
3.24,-14.164416083673
3.28,-14.3292541792507
3.32,-14.4937526536961
3.36,-14.6579091105091
3.4,-14.8217212045386
3.44,-14.9851866418537
3.48,-15.1483031796011
3.52,-15.3110686258473
3.56,-15.4734808394076
3.6,-15.6355377296614
3.64,-15.7972372563551
3.68,-15.9585774293921
3.72,-16.1195563086106
3.76,-16.2801720035489
3.8,-16.4404226732
3.84,-16.6003065257545
3.88,-16.7598218183321
3.92,-16.9189668567032
3.96,-17.0777399950002
4,-17.2361396354182
4.04,-17.3941642279065
4.08,-17.5518122698516
4.12,-17.7090823057497
4.16,-17.8659729268723
4.2,-18.0224827709219
4.24,-18.1786105216814
4.28,-18.3343549086546
4.32,-18.4897147066999
4.36,-18.6446887356575
4.4,-18.7992758599691
4.44,-18.9534749882915
4.48,-19.107285073105
4.52,-19.2607051103147
4.56,-19.4137341388474
4.6,-19.5663712402431
