Angle_CD_BD,Angle_BD_AC
47.204450625869235,30.035915940591053
48.393252577680045,36.018213947184904
49.58205452949085,39.41129376808526
50.7708564813016,42.2400863813111
51.9596584331124,44.780309682556734
53.14846038492321,47.139602218378975
54.337262336733964,49.37317598581824
55.526064288544774,51.51375287323782
56.71486624035556,53.58258219032585
57.90366819216633,55.59436992189655
59.09247014397713,57.55978487634114
60.28127209578792,59.4868546236744
61.470074047598686,61.38179842298858
62.658875999409474,63.249551741686716
63.84767795122028,65.09411123823094
65.03647990303105,66.91876994678671
66.22528185484184,68.72628251424841
67.41408380665264,70.51898431679959
68.60288575846339,72.29887925938972
69.79168771027419,74.06770576274937
70.98048966208495,75.82698721721829
72.16929161389575,77.5780711569857
73.35809356570655,79.32216010065932
74.54689551751731,81.06033613908988
75.73569746932812,82.79358076664823
76.92449942113892,84.522791049085
78.11330137294966,86.24879293833773
79.30210332476047,87.97235234306976
80.49090527657127,89.69418441793087
81.67970722838203,91.41496142766366
82.86850918019283,93.13531946289034
84.05731113200363,94.85586422492288
85.24611308381438,96.57717605184646
86.4349150356252,98.29981432361436
87.623716987436,100.0243213572544
88.81251893924674,101.75122588256431
90.00132089105755,103.48104617242826
91.19012284286835,105.21429288907538
92.37892479467911,106.95147169743849
93.56772674648991,108.69308568866346
94.75652869830071,110.43963765032976
95.94533065011146,112.1916322147295
97.13413260192226,113.94957791235112
98.32293455373308,115.71398915432644
99.51173650554382,117.48538816487186
100.70053845735463,119.26430688255378
101.88934040916543,121.05128884744417
103.07814236097619,122.84689108982674
104.26694431278699,124.65168603499842
105.45574626459779,126.46626343783653
106.64454821640854,128.29123236013172
107.83335016821934,130.12722320317198
109.02215212003014,131.97488980768156
110.2109540718409,133.83491163293925
111.3997560236517,135.70799602669243
112.58855797546252,137.5948805973181
113.77735992727327,139.4963356995412
114.96616187908408,141.4131670448533
116.15496383089489,143.34621844756376
117.34376578270563,145.29637471710538
118.53256773451643,147.26456470676436
119.72136968632724,149.25176452833892
120.910171638138,151.2590009412936
122.0989735899488,153.28735492365277
123.2877755417596,155.33796543007065
124.47657749357035,157.4120333400782
125.66537944538115,159.5108255962614
126.85418139719197,161.63567952785792
128.04298334900272,163.78800734970602
129.23178530081353,165.9693008193022
130.42058725262433,168.18113602552157
131.60938920443508,170.42517827083154
132.79819115624588,172.70318699396447
133.98699310805668,175.0170206612687
135.17579505986743,177.368641531422
136.3645970116782,179.7601201687644
137.55339896348903,177.806360456125
138.74220091529978,175.32850148541363
139.9310028671106,172.80388557540385
141.1198048189214,170.2299755120813
142.30860677073213,167.60411445673145
143.49740872254296,164.92352833983892
144.68621067435376,162.18533104492164
145.87501262616448,159.3865331717131
147.0638145779753,156.52405534325362
148.2526165297861,153.5947472265304
149.44141848159686,150.5954136727361
150.63022043340766,147.52284965034065
151.8190223852185,144.37388593778934
153.0078243370292,141.14544785302488
154.19662628884004,137.83462960606735
155.38542824065084,134.43878713823693
156.57423019246158,130.955652509796
157.76303214427236,127.3834729461649
158.95183409608316,123.72117745065859
160.14063604789393,119.96857330124125
161.32943799970474,116.12657359057452
162.51823995151554,112.19745502151723
163.70704190332629,108.18514218267947
164.89584385513712,104.0955102491846
166.08464580694795,99.93669229245458
167.27344775875866,95.71937011671591
168.46224971056947,91.45701907353424
169.65105166238027,87.16606848314197
170.83985361419101,82.86593172593687
172.0286555660018,78.57885629579995
173.21745751781265,74.32954749323973
174.40625946962336,70.14453358659193
175.59506142143422,66.05126774144594
176.78386337324494,62.077002380943874
177.97266532505594,58.247519498575215
179.16146727686657,54.58584474726271
179.64973077132342,51.111099257504094
178.4609288195119,47.837638268716255
177.2721268677011,44.77458549648502
176.08332491589036,41.92580506253337
174.8945229640795,39.29027778110767
173.70572101226878,36.86278730966567
172.51691906045795,34.634789144428375
171.32811710864723,32.595334791257024
170.13931515683643,30.731947139898274
168.9505132050256,29.031378552436603
167.76171125321486,27.480218781536557
166.57290930140405,26.065348196800997
165.38410734959322,24.77425029050971
164.19530539778245,23.595206802166956
163.00650344597173,22.517401388125407
161.81770149416087,21.53095615839931
160.62889954235013,20.626921731205854
159.44009759053938,19.79723716229079
158.25129563872852,19.034672024671075
157.06249368691778,18.332759434243663
155.873691735107,17.685726049385355
154.68488978329617,17.088422980615032
153.4960878314854,16.53626002707372
152.30728587967465,16.02514459116991
151.1184839278638,15.55142590052764
149.92968197605305,15.111844694550149
148.7408800242423,14.703488238480505
147.55207807243144,14.323750355816022
146.3632761206207,13.97029608018035
145.17447416880992,13.641030491741018
143.98567221699912,13.334071301094179
142.79687026518832,13.047724761661584
141.60806831337757,12.780464520993288
140.41926636156677,12.5309130560191
139.23046440975597,12.297825373485397
138.04166245794522,12.080074692261633
136.85286050613442,11.876639857590366
135.66405855432362,11.68659426800632
134.47525660251284,11.509096123301719
133.28645465070204,11.343379826547164
132.09765269889124,11.188748394925367
130.9088507470805,11.044566753208544
129.7200487952697,10.910255800362892
128.5312468434589,10.78528715424848
127.34244489164814,10.669178491960036
126.15364293983734,10.561489414252117
124.96484098802652,10.461817771931312
123.77603903621578,10.369796400271948
122.58723708440498,10.285090214589408
121.39843513259417,10.207393626241096
120.20963318078341,10.136428243647496
119.02083122897261,10.071940827551941
117.83202927716181,10.0137014737655
116.64322732535106,9.961502000160491
115.45442537354026,9.9151545177528
114.26562342172946,9.874490168420467
113.07682146991868,9.83935801419329
111.8880195181079,9.809624065168226
110.69921756629708,9.785170435000806
109.51041561448633,9.765894614626932
108.32161366267553,9.751708856424408
107.13281171086471,9.742539662449582
