time_s,world_x_mm,world_y_mm,world_z_mm,plot_x_mm,plot_y_mm,plot_z_mm,vel_x_mm_s,vel_y_mm_s,vel_z_mm_s,speed_mm_s,tilt_deg,vel_elev_deg,is_contact_frame,is_minimum_frame,is_release_frame
13.7,96.678474,428.034027,92.302246,96.678474,92.302246,428.034027,13.920599999997973,0.4883000000005869,27.56349999999652,30.88313574590107,2.001246513451421,0.9059538255098347,False,False,False
13.71,96.81768,428.03891,92.577881,96.81768,92.577881,428.03891,14.130799999999908,0.7263000000020838,25.396749999998065,29.0723568169559,1.9880596802800603,1.4315404442134683,False,False,False
13.72,96.96109,428.048553,92.810181,96.96109,92.810181,428.048553,13.9946000000009,-0.2121000000006461,24.89469999999983,28.55941007198883,1.9724778060127903,-0.42551812231556774,False,False,False
13.73,97.097572,428.034668,93.075775,97.097572,93.075775,428.034668,15.326300000000629,-1.6296000000002095,26.739850000000843,30.863743225224074,1.9541363944019852,-3.0266140724929333,False,False,False
13.74,97.267616,428.015961,93.344978,97.267616,93.344978,428.015961,17.76430000000073,-2.043149999997695,28.315750000000662,33.48919996767695,1.9608150472569013,-3.4977430035308616,False,False,False
13.75,97.452858,427.993805,93.64209,97.452858,93.64209,427.993805,18.956750000000284,-8.248900000002322,28.071600000000217,34.86283764028053,1.962309549993465,-13.686552525202286,False,False,False
13.76,97.646751,427.850983,93.90641,97.646751,93.90641,427.850983,19.316100000000006,-1.837150000003021,32.32880000000114,37.704617075002695,1.881001674838993,-2.79283133400005,False,False,False
13.77,97.83918,427.957062,94.288666,97.83918,94.288666,427.957062,15.104700000000776,-1.4801000000006752,33.4278000000013,36.71185736162244,1.896636899901589,-2.310601530987475,False,False,False
13.78,97.948845,427.821381,94.574966,97.948845,94.574966,427.821381,12.03309999999965,-5.8624500000005355,33.152750000001106,35.75288307500629,1.767161469435193,-9.437485749814895,False,False,False
13.79,98.079842,427.839813,94.951721,98.079842,94.951721,427.839813,13.52574999999888,2.810649999999441,37.53779999999733,39.99915118255344,1.713829169594782,4.029365521541983,False,False,False
13.8,98.21936,427.877594,95.325722,98.21936,95.325722,427.877594,11.969749999999294,4.611199999999371,38.7683999999972,40.835363584303494,1.6752398950426408,6.483768226717762,False,False,False
13.81,98.319237,427.932037,95.727089,98.319237,95.727089,427.932037,6.972150000000511,3.0868499999996857,39.21050000000105,39.9449975440616,1.6349676424879862,4.432094010333358,False,False,False
13.82,98.358803,427.939331,96.109932,98.358803,96.109932,427.939331,4.9522500000002765,0.6683500000035565,39.007550000000265,39.32633251127707,1.62082691280216,0.9737871654489916,False,False,False
13.83,98.418282,427.945404,96.50724,98.418282,96.50724,427.945404,9.42305000000033,0.6149500000028638,38.6474500000013,39.78438671523806,1.639448528390754,0.8856600716250672,False,False,False
13.84,98.547264,427.95163,96.882881,98.547264,96.882881,427.95163,13.38419999999951,1.1322000000000116,37.96730000000116,40.2732486369063,1.6615202711122048,1.6109658821012742,False,False,False
13.85,98.685966,427.968048,97.266586,98.685966,97.266586,427.968048,10.54385000000002,-0.4242000000012922,41.45625000000109,42.7781881631877,1.6710669142850785,-0.5681696457171839,False,False,False
13.86,98.758141,427.943146,97.712006,98.758141,97.712006,427.943146,4.860350000000835,-2.738949999999022,42.97295000000122,43.333581445890296,1.6617457176971866,-3.623862794268715,False,False,False
13.87,98.783173,427.913269,98.126045,98.783173,98.126045,427.913269,3.2428499999996347,-3.219600000000355,44.70594999999685,44.938890347723515,1.671216095507248,-4.108416232855122,False,False,False
13.88,98.822998,427.878754,98.606125,98.822998,98.606125,427.878754,6.631849999998849,-3.016649999997753,47.46589999999651,48.021799991822874,1.676733613173262,-3.6015974363118897,False,False,False
13.89,98.91581,427.852936,99.075363,98.91581,99.075363,427.852936,8.469750000001113,-2.6855500000019674,47.340000000001055,48.16663205856446,1.6876084619474228,-3.196206749124103,False,False,False
13.9,98.992393,427.825043,99.552925,98.992393,99.552925,427.825043,2.381100000000515,-5.671699999998964,50.60425000000123,50.9767391676107,1.6611354809538665,-6.387985804351595,False,False,False
13.91,98.963432,427.739502,100.087448,98.963432,100.087448,427.739502,0.5420999999996639,-6.619299999998475,54.858000000001084,55.2585664752543,1.6463778121290107,-6.879853874498259,False,False,False
13.92,99.003235,427.692657,100.650085,99.003235,100.650085,427.692657,5.617900000000191,-6.2515500000044995,56.53075000000172,57.1521510826605,1.6828712896021731,-6.279826366801244,False,False,False
13.93,99.07579,427.614471,101.218063,99.07579,101.218063,427.614471,4.196549999999661,-9.872400000000198,57.50200000000132,58.49406224278369,1.7011992915885317,-9.716666853004684,False,False,False
13.94,99.087166,427.495209,101.800125,99.087166,101.800125,427.495209,5.356249999999818,-9.608449999996083,55.959350000000995,57.03034786749537,1.7012284312584416,-9.69943134539183,False,False,False
13.95,99.182915,427.422302,102.33725,99.182915,102.33725,427.422302,11.227799999998751,-6.889349999997648,54.5169999999971,56.08591556943796,1.6941823355225587,-7.055784524738702,False,False,False
13.96,99.311722,427.357422,102.890465,99.311722,102.890465,427.357422,11.768699999999626,-8.334350000000995,52.683649999995396,54.62170508995964,1.694773919956545,-8.77665174572197,False,False,False
13.97,99.418289,427.255615,103.390923,99.418289,103.390923,427.255615,9.9670500000002,-9.123250000000553,49.76540000000023,51.56714858730349,1.6485448652783927,-10.190398439588517,False,False,False
13.98,99.511063,427.174957,103.885773,99.511063,103.885773,427.174957,14.205950000000485,-4.64169999999649,51.25310000000172,53.38758895007957,1.5772665657664422,-4.987788911787689,False,False,False
13.99,99.702408,427.162781,104.415985,99.702408,104.415985,427.162781,17.716600000000653,-2.000399999997171,53.20550000000094,56.11332057515499,1.572666274850401,-2.0429867057476683,False,False,False
14.0,99.865395,427.134949,104.949883,99.865395,104.949883,427.134949,12.630450000000565,-2.1194500000019616,52.252950000000965,53.799545715624994,1.5542377121468631,-2.257769491742167,False,False,False
14.01,99.955017,427.120392,105.461044,99.955017,105.461044,427.120392,12.80974999999944,2.9464499999958207,51.31910000000153,52.97566693752064,1.475430016491558,3.188375344169024,False,False,False
14.02,100.12159,427.193878,105.976265,100.12159,105.976265,427.193878,16.230000000000473,6.372050000001764,51.19095000000107,54.07891717763168,1.4252178856411035,6.766808787376779,False,False,False
14.03,100.279617,427.247833,106.484863,100.279617,106.484863,427.247833,15.21795000000111,4.70430000000124,47.038650000001326,49.66237040773598,1.415230861365127,5.435529138709266,False,False,False
14.04,100.425949,427.287964,106.917038,100.425949,106.917038,427.287964,16.674449999998615,5.68544999999358,41.254799999996976,44.85889151043114,1.355847077715597,7.2812936002620265,False,False,False
14.05,100.613106,427.361542,107.309959,100.613106,107.309959,427.361542,21.503849999999147,7.464599999999336,37.96539999999641,44.26632371388187,1.3261389757124775,9.70813429946101,False,False,False
14.06,100.856026,427.437256,107.676346,100.856026,107.676346,427.437256,24.939700000000812,8.01850000000195,34.111800000000585,43.01046241997535,1.3355366375875857,10.744596603795252,False,False,False
14.07,101.1119,427.521912,107.992195,101.1119,107.992195,427.521912,25.879650000000765,9.175100000004022,31.056950000001052,41.45446764143979,1.3519240149209812,12.787137750231482,False,False,False
14.08,101.373619,427.620758,108.297485,101.373619,108.297485,427.620758,27.05844999999954,10.018899999999121,30.516050000000178,41.99723063744761,1.3546208831108832,13.801623096294243,False,False,False
14.09,101.653069,427.72229,108.602516,101.653069,108.602516,427.72229,27.23045000000002,12.075799999998708,30.521050000000287,42.64805793872667,1.387714620361964,16.448300225292304,False,False,False
14.1,101.918228,427.862274,108.907906,101.918228,108.907906,427.862274,24.598650000000816,14.230350000001636,30.834600000001046,41.932910703946504,1.408745092453218,19.837882875347805,False,False,False
14.11,102.145042,428.006897,109.219208,102.145042,109.219208,428.006897,21.913150000001224,13.967899999999645,31.480750000000626,40.820656460854266,1.3945366061467117,20.009579583644353,False,False,False
14.12,102.356491,428.141632,109.537521,102.356491,109.537521,428.141632,21.184949999998025,13.664250000005268,34.56989999999678,42.785415979920515,1.3926134826476648,18.624648132794306,False,False,False
