time_s,world_x_mm,world_y_mm,world_z_mm,plot_x_mm,plot_y_mm,plot_z_mm,vel_x_mm_s,vel_y_mm_s,vel_z_mm_s,speed_mm_s,tilt_deg,vel_elev_deg,is_contact_frame,is_minimum_frame,is_release_frame
26.61,131.176346,307.36911,134.293869,131.176346,134.293869,307.36911,66.77244999999948,-1297.184750000013,24.23474999999962,1299.1282303218422,6.522786429665438,-86.86558966637337,False,False,False
26.62,131.883255,293.948334,134.554184,131.883255,134.554184,293.948334,71.16925000000083,-1396.8216000000484,26.776100000000042,1398.8897754660543,6.692914857697518,-86.8840312440574,False,False,False
26.63,132.599731,279.432678,134.829391,132.599731,134.829391,279.432678,78.11660000000029,-1495.1980500000154,30.37185000000045,1497.545278511415,6.937897771293404,-86.79164750786876,False,False,False
26.64,133.445587,264.044373,135.161621,133.445587,135.161621,264.044373,85.30045000000155,-1589.891050000053,33.06810000000223,1592.5210255686056,7.089310751273798,-86.70670461125447,False,False,False
26.65,134.30574,247.634857,135.490753,134.30574,135.490753,247.634857,89.53935000000183,-1687.5214000000178,34.856400000000576,1690.2546374074539,7.28190323247117,-86.74119194805535,False,False,False
26.66,135.236374,230.293945,135.858749,135.236374,135.858749,230.293945,90.85314999998627,-1788.2300999997224,39.28834999999344,1790.9675485210946,7.467176839453053,-86.83173072880697,False,False,False
26.67,136.122803,211.870255,136.27652,136.122803,136.27652,211.870255,94.09255000000303,-1888.3552500000587,44.66020000000208,1891.2253941908477,7.749396611358217,-86.84301308327156,False,False,False
26.68,137.118225,192.52684,136.751953,137.118225,136.751953,192.52684,102.55280000000039,-1982.0801000000247,47.63260000000082,1985.3028645994314,7.970839019552351,-86.73489384993044,False,False,False
26.69,138.173859,172.228653,137.229172,138.173859,137.229172,172.228653,107.26090000000386,-2079.1259500000615,49.86040000000139,2082.4878573765154,8.195477650137693,-86.74390020686538,False,False,False
26.7,139.263443,150.944321,137.749161,139.263443,137.749161,150.944321,112.87685000000147,-2179.317500000029,53.97110000000066,2182.9060512783203,8.426046985155722,-86.71421456689427,False,False,False
26.71,140.431396,128.642303,138.308594,140.431396,138.308594,128.642303,120.15535000000364,-2249.791350000055,40.11154999999508,2253.3546909246434,8.580177349002804,-86.77738230917848,True,False,False
26.72,141.66655,105.948494,138.551392,141.66655,138.551392,105.948494,94.15360000001328,-1172.192350000415,-181.37969999993038,1189.873271136268,9.202928981790226,-80.11039436634523,False,False,False
26.73,142.314468,105.198456,134.681,142.314468,134.681,105.198456,42.247749999993175,337.774250000155,-367.6331,501.0293529912585,10.164856652462385,42.38899997105778,False,True,False
26.74,142.511505,112.703979,131.19873,142.511505,131.19873,112.703979,21.109050000000025,677.9850000000406,-361.3090500000035,768.539837502821,4.873453429805188,61.905597546005275,False,False,True
26.75,142.736649,118.758156,127.454819,142.736649,127.454819,118.758156,15.071899999997186,569.4713999999103,-343.8251499999469,665.3875347193948,1.4355950624027565,58.853679521683965,False,False,False
26.76,142.812943,124.093407,124.322227,142.812943,124.322227,124.093407,24.640650000006644,455.2631499999816,-330.48365000001286,563.1084622856058,3.039044402666067,53.94789904101615,False,False,False
26.77,143.229462,127.863419,120.845146,143.229462,120.845146,127.863419,45.23084999999992,334.91555000002245,-323.2387500000159,467.65109315077285,5.068398219013703,45.73879263209067,False,False,False
26.78,143.71756,130.791718,117.857452,143.71756,117.857452,130.791718,50.88040000000183,245.6870999999892,-290.1592000000037,383.59265836979597,7.417485302391393,39.82833581408202,False,False,False
26.79,144.24707,132.777161,115.041962,144.24707,115.041962,132.777161,50.21895000000222,139.7468500000241,-284.1003000000046,320.56840999094806,9.712027744279426,25.84477654707899,False,False,False
26.8,144.721939,133.586655,112.175446,144.721939,112.175446,133.586655,45.22325000000001,29.620349999981045,-295.91525000001,300.81280334662006,11.734758242864753,5.650941636062351,False,False,False
26.81,145.151535,133.369568,109.123657,145.151535,109.123657,133.369568,51.46179999999731,-70.89004999998451,-311.5684500000034,323.64890712567626,14.026547564788565,-12.652289769595294,False,False,False
26.82,145.751175,132.168854,105.944077,145.751175,105.944077,132.168854,62.80825000000277,-162.45120000001862,-313.0027500000042,358.1982553797185,16.536155102771396,-26.96995109743391,False,False,False
26.83,146.4077,130.120544,102.863602,146.4077,102.863602,130.120544,68.94225000000097,-181.80620000001272,-315.85315000000355,370.90395058347923,19.235960351191423,-29.351793106907003,False,False,False
26.84,147.13002,128.53273,99.627014,147.13002,99.627014,128.53273,78.74219999998695,-175.25634999997237,-315.7676999999503,369.627329400045,21.120408946255623,-28.303590000603833,False,False,False
