time_s,world_x_mm,world_y_mm,world_z_mm,plot_x_mm,plot_y_mm,plot_z_mm,vel_x_mm_s,vel_y_mm_s,vel_z_mm_s,speed_mm_s,tilt_deg,vel_elev_deg,is_contact_frame,is_minimum_frame,is_release_frame
26.56,139.160751,300.624603,75.305641,139.160751,75.305641,300.624603,75.82780000000002,-1385.4752000000117,161.18810000000167,1396.8797330656362,16.733274095619674,-82.6735634085966,False,False,False
26.57,139.992081,286.267944,76.981407,139.992081,76.981407,286.267944,81.62005000000136,-1484.4390500000482,167.75210000000425,1496.1156014096837,17.199559638367933,-82.83699565854002,False,False,False
26.58,140.793152,270.935822,78.660683,140.793152,78.660683,270.935822,89.50424999999814,-1581.0928000000167,178.00829999999996,1593.5973167173836,17.694650438955613,-82.81765631509899,False,False,False
26.59,141.782166,254.646088,80.541573,141.782166,80.541573,254.646088,96.12654999998631,-1678.870399999736,180.17349999997077,1691.2446965807203,18.195254038392445,-83.06478671049558,False,False,False
26.6,142.715683,237.358414,82.264153,142.715683,82.264153,237.358414,93.46615000000202,-1779.557800000055,175.1907000000051,1790.6014816545166,18.66781374928528,-83.63323873894001,False,False,False
26.61,143.651489,219.054932,84.045387,143.651489,84.045387,219.054932,99.17219999999907,-1877.484900000025,180.21240000000398,1888.7194561646006,19.131245850275317,-83.74759110632839,False,False,False
26.62,144.699127,199.808716,85.868401,144.699127,85.868401,199.808716,103.26310000000194,-1974.6315000000614,181.41595000000325,1985.634552360657,19.61673454550445,-83.96544415435116,False,False,False
26.63,145.716751,179.562302,87.673706,145.716751,87.673706,179.562302,107.13884999999937,-2072.8996500000285,183.23665000000346,2083.7387941037105,20.114840795073533,-84.15341961711208,False,False,False
26.64,146.841904,158.350723,89.533134,146.841904,89.533134,158.350723,113.6314500000035,-2169.081900000063,186.39910000000418,2180.0396830832683,20.591347263744055,-84.25289859571376,False,False,False
26.65,147.98938,136.180664,91.401688,147.98938,91.401688,136.180664,117.53080000000227,-2268.8213000000287,191.4280000000026,2279.914090369736,21.0882975120111,-84.34574962709951,False,False,False
26.66,149.19252,112.974297,93.361694,149.19252,93.361694,112.974297,140.91794999997728,-2242.37099999965,113.55474999998296,2249.6622527657755,21.629929960122986,-85.38578938757672,True,False,False
26.67,150.807739,91.333244,93.672783,150.807739,93.672783,91.333244,193.76957499999503,-1675.9478166663305,-80.50610000003155,1689.0319607756194,24.22693492433601,-82.86371622802938,False,False,False
26.7,159.523117,84.988983,81.21225,159.523117,81.21225,84.988983,346.4404900000136,324.5215033333229,-565.6360700000178,738.4303507591183,11.90585019976168,26.0703737507054,False,True,False
26.72,167.197632,98.626038,67.895729,167.197632,67.895729,98.626038,457.95818333328134,618.7627166666143,-714.3965499999249,1050.216848022523,14.51529859765023,36.09856690929947,False,False,True
26.73,172.148376,104.498215,60.508911,172.148376,60.508911,104.498215,497.5753500000119,544.6456499999967,-735.1268500000142,1041.4564794471714,16.488280878555518,31.531372190996898,False,False,False
26.74,177.149139,109.518951,53.193192,177.149139,53.193192,109.518951,491.2109500000133,471.99515000002066,-736.7469500000134,1003.425975026449,18.689356100199582,28.059201501824287,False,False,False
26.75,181.972595,113.938118,45.773972,181.972595,45.773972,113.938118,481.42474999992555,402.0523499999372,-738.8853499998847,969.2096999604446,21.394221805125188,24.508292240607492,False,False,False
26.76,186.777634,117.559998,38.415485,186.777634,38.415485,117.559998,486.7241000000122,319.2905499999915,-736.855250000016,939.04337721572,24.313076732650867,19.87789929489627,False,False,False
26.77,191.707077,120.323929,31.036867,191.707077,31.036867,120.323929,493.2701000000088,232.37530000002062,-736.9149000000159,916.7100094610901,27.30927550232797,14.684030739932984,False,False,False
26.78,196.643036,122.207504,23.677187,196.643036,23.677187,122.207504,507.52565000001596,148.86969999998837,-734.9216500000153,905.458063426888,30.24175230744856,9.463176144834787,False,False,False
26.79,201.85759,123.301323,16.338434,201.85759,16.338434,123.301323,527.9228000000094,61.51775000001817,-736.3220000000149,908.106273521407,33.237956557395094,3.8843569283078754,False,False,False
26.8,207.201492,123.437859,8.950747,207.201492,8.950747,123.437859,535.318000000012,-29.563900000015565,-744.4240000000178,917.3911254657146,36.150432052413514,-1.8467368768845651,False,False,False
26.81,212.56395,122.710045,1.449954,212.56395,1.449954,122.710045,528.9505000000154,-82.96279999999842,-752.8014500000152,923.7864908929072,39.31233079203573,-5.152523137480638,False,False,False
26.82,217.780502,121.778603,-6.105282,217.780502,-6.105282,121.778603,542.5682000000179,-40.39114999998219,-752.9767500000152,928.9702270203097,43.19642830992921,-2.4919767549205867,False,False,False
