time_s,world_x_mm,world_y_mm,world_z_mm,plot_x_mm,plot_y_mm,plot_z_mm,vel_x_mm_s,vel_y_mm_s,vel_z_mm_s,speed_mm_s,tilt_deg,vel_elev_deg,is_contact_frame,is_minimum_frame,is_release_frame
13.8,132.692123,461.550171,22.106108,132.692123,22.106108,461.550171,-11.474599999999914,30.19100000000272,52.29490000000117,61.46478253577641,6.4079070685110455,29.418948297264407,False,False,False
13.81,132.577377,461.852081,22.629057,132.577377,22.629057,461.852081,-10.742950000000747,28.76585000000341,48.62270000000103,57.506973978947215,6.406547020518743,30.01422416737638,False,False,False
13.82,132.477264,462.125488,23.078562,132.477264,23.078562,462.125488,-9.587850000000799,21.71480000000156,38.31815000000097,45.074826966779995,6.4196878941913145,28.79976283440877,False,False,False
13.83,132.38562,462.286377,23.39542,132.38562,23.39542,462.286377,-5.934099999999489,15.861550000001444,27.902200000000676,32.639471136226724,6.375744015586197,29.075533990531746,False,False,False
13.84,132.358582,462.442719,23.636606,132.358582,23.636606,462.442719,-0.055700000000797445,16.786199999998644,21.67875000000049,27.418019886426443,6.385155686564568,37.751095334256036,False,False,False
13.85,132.384506,462.622101,23.828995,132.384506,23.828995,462.622101,2.690849999999955,15.685999999997875,16.15955000000008,22.68088018408756,6.433281727978642,43.75655822631648,False,False,False
13.86,132.412399,462.756439,23.959797,132.412399,23.959797,462.756439,1.6678000000019892,13.661200000002282,14.159950000000208,19.746243346079144,6.501630867406314,43.77577312568961,False,False,False
13.87,132.417862,462.895325,24.112194,132.417862,24.112194,462.895325,1.1611999999995533,9.680199999998877,16.03724999999895,18.76827229774876,6.587501023494953,31.049251031596963,False,False,False
13.88,132.435623,462.950043,24.280542,132.435623,24.280542,462.950043,-0.4165500000017346,2.7343500000024505,19.68009999999913,19.873513021984326,6.65808107352485,7.908278031083134,False,False,False
13.89,132.409531,462.950012,24.505796,132.409531,24.505796,462.950012,-1.075749999999971,-2.6595999999954074,24.505450000000565,24.672814795337057,6.708218760216385,-6.188208343755268,False,False,False
13.9,132.414108,462.896851,24.770651,132.414108,24.770651,462.896851,-0.3150999999988926,-11.882000000001426,29.226300000000492,31.55087675010097,6.733784416452406,-22.123119197729594,False,False,False
13.91,132.403229,462.712372,25.090322,132.403229,25.090322,462.712372,-0.5149499999997715,-22.60135000000446,29.932500000000573,37.510541872588774,6.723787315876921,-37.05154705337889,False,False,False
13.92,132.403809,462.444824,25.369301,132.403809,25.369301,462.444824,0.4859999999998763,-28.485099999998056,26.6512000000007,39.01183896524139,6.706184286554366,-46.90027265235564,False,False,False
13.93,132.412949,462.14267,25.623346,132.412949,25.623346,462.14267,1.2580499999994572,-33.381649999999354,26.042050000000472,42.35688391191543,6.665307063715793,-52.00872344807773,False,False,False
13.94,132.42897,461.777191,25.890142,132.42897,25.890142,461.777191,2.017949999999473,-36.82560000000376,24.23840000000041,44.132719971952724,6.608767033778807,-56.55637810942548,False,False,False
13.95,132.453308,461.406158,26.108114,132.453308,26.108114,461.406158,5.630500000000211,-37.84484999999768,18.74439999999936,42.6061936006058,6.584582342398068,-62.65386275841596,False,False,False
13.96,132.54158,461.020294,26.26503,132.54158,26.26503,461.020294,9.474949999999808,-38.00200000000041,13.288599999998496,41.35835552173813,6.599396772969316,-66.75809590093986,False,False,False
13.97,132.642807,460.646118,26.373886,132.642807,26.373886,460.646118,11.313650000000052,-38.975500000000466,7.192150000000083,41.21668713270195,6.647885894605558,-71.01861098378905,False,False,False
13.98,132.767853,460.240784,26.408873,132.767853,26.408873,460.240784,15.350350000000617,-45.22705000000133,2.7829999999999018,47.84207756593706,6.66380284508017,-70.96867289622487,False,False,False
13.99,132.949814,459.741577,26.429546,132.949814,26.429546,459.741577,19.106300000000374,-49.4217000000026,1.1950999999999112,52.99984334495972,6.718777594628305,-68.82597725695511,False,False,False
14.0,133.149979,459.25235,26.432775,133.149979,26.432775,459.25235,21.61790000000019,-54.16869999999835,2.199400000000196,58.364535639888636,6.800407279119856,-68.14206523901721,False,False,False
14.01,133.382172,458.658203,26.473534,133.382172,26.473534,458.658203,26.47400000000107,-60.02959999999803,4.897150000000238,65.79063482200428,6.8822300108371826,-65.84388389037721,False,False,False
14.02,133.679459,458.051758,26.530718,133.679459,26.530718,458.051758,34.951750000001084,-64.35545000000275,10.51110000000017,73.98467406142595,6.955857275888813,-60.441026821218585,False,False,False
14.03,134.081207,457.371094,26.683756,134.081207,26.683756,457.371094,40.08635000000049,-64.58130000000165,15.53830000000039,77.58284947656126,7.008834581606132,-56.34785173530642,False,False,False
14.04,134.481186,456.760132,26.841484,134.481186,26.841484,456.760132,39.38219999999819,-63.6124000000018,15.496449999999186,76.40441789060735,6.99444173994121,-56.36415745243856,False,False,False
14.05,134.868851,456.098846,26.993685,134.868851,26.993685,456.098846,39.90629999999783,-62.90894999999364,15.054999999998927,76.0046169307595,6.955756693750814,-55.863096282257274,False,False,False
14.06,135.279312,455.501953,27.142584,135.279312,27.142584,455.501953,44.43740000000071,-65.64940000000206,17.59975000000054,81.20515648148738,6.893995974213617,-53.94367809526845,False,False,False
